file,meanB,meanG,meanR,standar_devB,standar_devG,standar_devR,skewness_B,skewness_G,skewness_R,class
nonsegar (32).jpg,137.87200927734375,70.20100402832031,42.70677185058594,6.707517424932514,8.197132459544004,9.427750385717635,7.058957508021639,10.275209160407705,12.994984726494444,2
nonsegar (33).jpg,164.02032470703125,92.56842041015625,63.04551696777344,13.952332642746955,17.820267633246168,19.284286768493978,10.18471951823844,18.632774618753068,22.043352247060238,2
nonsegar (34).jpg,165.47567749023438,90.97749328613281,61.51066589355469,11.972866682183795,19.287309355212074,21.332682714906873,12.150365233955288,21.01670622243406,24.434569434147665,2
nonsegar (35).jpg,174.66033935546875,105.15834045410156,74.91421508789062,11.312797519916758,16.30152677212637,17.819174375416797,12.390238282225289,19.673416035300047,22.179928190993007,2
nonsegar (36).jpg,174.43756103515625,104.87367248535156,73.04774475097656,10.812799526590315,15.247558965964558,16.559474041217673,11.057746617030881,17.385826788500527,20.059434845765033,2
nonsegar (37).jpg,168.98704528808594,96.93067932128906,64.87014770507812,10.609819406775241,16.771070329295704,16.82986629084829,8.925258245892898,13.884576644408664,12.429472578405083,2
nonsegar (38).jpg,173.30001831054688,100.76141357421875,68.90377807617188,8.341583578747336,16.118455827574792,16.446085949257323,5.688096712128915,6.208815286529912,-6.233791510230942,2
nonsegar (39).jpg,175.20379638671875,102.42303466796875,68.91130065917969,8.862967139461945,16.834886036475055,15.76166666209437,6.564486392776005,10.81287379989542,7.861274681147982,2
nonsegar (4).jpg,127.91635131835938,70.73062133789062,50.87358093261719,9.210912185483302,16.983475851017754,13.0482266901479,8.507449884671773,8.328901613754741,13.721262286932266,2
nonsegar (40).jpg,141.1669464111328,73.52801513671875,41.0347900390625,8.964009219834104,13.083612529124778,14.86386932081903,4.394154536605291,9.769948569220212,11.06509161051889,2
nonsegar (41).jpg,161.35650634765625,89.12875366210938,56.99235534667969,8.019586034059024,11.863306058969831,12.657330906068662,4.390773851128285,9.26333861967525,7.888001627001012,2
nonsegar (42).jpg,186.1031036376953,124.40946960449219,90.40504455566406,8.842148990255172,15.41685130782188,14.846589516787928,9.002150375126549,13.294735417742457,16.452603682235274,2
nonsegar (43).jpg,161.91244506835938,92.22677612304688,62.53765869140625,12.533390224153182,17.00222119944967,18.192328921246474,8.67773510664381,10.147330941723819,11.512084814245775,2
nonsegar (44).jpg,139.29864501953125,64.66850280761719,34.319488525390625,7.051436863214683,11.10267935607902,12.44852839539879,8.412258720320123,14.786402628423652,17.333468247135748,2
nonsegar (45).jpg,178.47222900390625,108.48017883300781,78.536376953125,5.615431663364499,11.097067239175953,10.541398518372253,6.767694458482343,9.89694403872739,10.934917071273343,2
nonsegar (46).jpg,163.84312438964844,99.51652526855469,68.66744995117188,6.219819908662721,11.751288227730708,12.993063854094881,5.542392188872916,10.750982195701841,12.603821509707622,2
nonsegar (47).jpg,141.93392944335938,73.57870483398438,47.68061828613281,11.355887259612503,16.44821086787817,19.197510343841515,14.954390484783254,22.062121792294747,25.108159372069977,2
nonsegar (48).jpg,131.690185546875,62.38194274902344,46.21702575683594,6.762991972107545,10.293195258899717,8.707673718253636,4.603559436579517,6.307591894593588,8.254961633460107,2
nonsegar (49).jpg,119.53878784179688,49.25422668457031,34.53550720214844,4.533450774327501,9.36684486544333,7.725556619327784,5.038301588625382,10.019095014321044,10.072343785882543,2
nonsegar (5).jpg,104.15859985351562,28.848892211914062,24.4849853515625,8.147496943112488,14.59198213682764,12.804694188519466,8.892760446007577,18.688200177294803,16.09006222476286,2
nonsegar (50).jpg,125.61494445800781,56.08796691894531,38.33697509765625,7.317596092724768,11.416253286068905,8.490476988517425,6.068294296382091,7.751096870901753,7.585483996491921,2
nonsegar (51).jpg,120.97657775878906,50.09379577636719,35.08467102050781,4.564538030172396,8.676215162989223,7.212443090582256,4.149300533075779,8.495418353825945,8.875220797392616,2
nonsegar (52).jpg,126.29011535644531,57.618133544921875,40.08384704589844,4.27290729673346,7.342340508536672,7.433274818765451,5.179992604427217,9.67131182703242,10.392649448769276,2
nonsegar (53).jpg,124.54029846191406,46.79205322265625,31.940658569335938,6.038020876274505,7.660699143057936,5.397126148241898,-3.5080486493750853,2.2732707935636203,5.041739300104969,2
nonsegar (54).jpg,124.90687561035156,47.852325439453125,32.361083984375,4.736096824007394,6.276101266469478,4.765483009849618,-3.106971176315977,2.78031484398829,5.2719055823488405,2
nonsegar (55).jpg,123.03611755371094,50.833526611328125,34.30549621582031,4.09618231532727,10.3095490090993,9.257132309749354,3.994121912732313,12.328902571720564,12.090368146826513,2
nonsegar (56).jpg,120.87149047851562,43.072479248046875,29.888214111328125,6.002043938981618,8.439409256253667,6.488897444705559,4.247442982053257,7.437034926411549,6.3165016912134035,2
nonsegar (57).jpg,126.51902770996094,49.71907043457031,33.992431640625,6.389796745453393,8.597572663449313,6.5933707566600654,2.230021751540813,5.96541207053257,7.400473031313104,2
nonsegar (58).jpg,117.26925659179688,43.474517822265625,28.029159545898438,7.298556812948464,11.380166991581193,7.7526371325484424,5.8544476326912465,9.35598086719286,6.128312349844585,2
nonsegar (59).jpg,117.30096435546875,44.32623291015625,28.310546875,6.9043184549838825,10.720831854970477,7.620445767477672,5.419705879955893,8.569584619308683,6.646524050415935,2
nonsegar (6).jpg,103.60902404785156,31.6497802734375,27.533889770507812,14.242364824635187,21.51904863829773,19.271817902133318,16.350633038440055,29.29044755589031,28.86103401253906,2
nonsegar (60).jpg,131.85223388671875,63.60871887207031,42.91767883300781,9.329113805422022,13.472588509427421,10.666160563203395,5.75217163112977,7.717649517022287,8.581749237653383,2
nonsegar (61).jpg,134.83692932128906,58.04078674316406,38.82127380371094,5.587300783783823,9.321216146532121,7.513059898052257,-4.1852905299449406,6.793150365318486,8.69954268675845,2
nonsegar (62).jpg,134.55487060546875,69.67808532714844,46.603790283203125,9.792851643837865,14.657951892493736,14.248858499680228,5.850874946950409,13.859858457327894,18.154870618076938,2
nonsegar (63).jpg,118.86027526855469,47.01739501953125,31.754058837890625,4.505008098894188,7.645733938748041,5.556296906039268,-2.1624562927262985,-3.4637581607921852,1.5877333607253465,2
nonsegar (64).jpg,120.86895751953125,49.96971130371094,31.463058471679688,11.138296762638777,16.113296343240027,11.71893526192097,8.401495236714716,12.563550803058325,11.670850998411577,2
nonsegar (65).jpg,112.20420837402344,37.45518493652344,30.1026611328125,12.804869869412805,21.683350752640578,18.361137422014217,17.803317803899176,26.741345510003892,25.62801153732114,2
nonsegar (66).jpg,75.14776611328125,19.780853271484375,17.803024291992188,10.451384145491215,9.325512791407721,7.702921207316019,10.552091088436004,13.821270032869077,11.926820590332106,2
nonsegar (67).jpg,106.7943115234375,36.02691650390625,26.813217163085938,10.871877160939711,17.830601119783736,16.649619135945112,14.567037753135146,22.89810535579215,22.884582720737047,2
nonsegar (68).jpg,149.98338317871094,95.37820434570312,66.22149658203125,9.161893412273022,25.57447436051504,32.307458777088755,11.352682149802753,26.07896778239018,32.341920426811335,2
nonsegar (69).jpg,109.52107238769531,35.52069091796875,28.243133544921875,13.02836384395871,21.244906883014217,17.89230934607335,18.470111461659435,27.043035658725447,25.895715974146142,2
nonsegar (7).jpg,96.12588500976562,34.98799133300781,27.716598510742188,13.352972383337566,19.202761685586804,16.805179353482735,17.76922561115457,25.536097337995976,23.94039666341662,2
nonsegar (70).jpg,91.93434143066406,31.326126098632812,26.54241943359375,12.991424356049357,14.28481962004984,12.500363809387478,14.70336083724843,21.761606441244716,20.749196493102755,2
nonsegar (71).jpg,75.71693420410156,20.132217407226562,18.453659057617188,8.692154854014564,9.920128826540306,9.04276479804934,10.183451807025842,14.757191212531621,13.831387315237981,2
nonsegar (72).jpg,112.60043334960938,31.8292236328125,24.073440551757812,11.240642095730896,17.76764872716098,15.613374352080625,16.30877767510451,24.42677995596,23.84226134942991,2
nonsegar (73).jpg,109.77934265136719,37.80322265625,28.166488647460938,15.34280626258613,22.817937453761758,18.39656905751406,19.662619205763917,28.06650653392199,26.96988722108924,2
nonsegar (74).jpg,102.77876281738281,30.417572021484375,22.448013305664062,10.914941358344437,16.47056160171881,14.7025909846175,15.166801843167518,22.896417640529492,22.651264420234842,2
nonsegar (75).jpg,95.05880737304688,26.804290771484375,24.148162841796875,12.900644399462802,11.623628159455208,9.159870013856539,13.093329964626394,15.935030435565219,14.105977582201731,2
nonsegar (76).jpg,108.83758544921875,44.506103515625,36.11256408691406,12.633685312304369,17.548028731355327,16.153224930019817,15.174253180614999,23.85261073877772,22.94617117321441,2
nonsegar (77).jpg,125.4864501953125,59.899078369140625,40.73274230957031,17.47237721584315,26.103486471859156,25.54370261192983,19.717616620896298,30.718537542398682,33.582933432573704,2
nonsegar (78).jpg,168.26075744628906,97.79428100585938,64.32864379882812,6.084371433815862,19.11506444479466,22.76630585893276,7.3917366878908535,20.460196275049963,24.126987017394693,2
